datetime,open,high,low,close,volume
2025-06-09 15:45:00,204.46001,204.59,204.3,204.46001,846973
2025-06-09 16:00:00,204.48,204.91,204.03999,204.12621,1400891
2025-06-09 16:15:00,204.12,204.25999,203.73,203.9288,1505871
2025-06-09 16:30:00,203.92999,204.66,203.89,204.66,1120868
2025-06-09 16:45:00,204.64999,204.81,204.58,204.7,1140571
2025-06-09 17:00:00,204.71001,205.2999,201.34,201.66,5009395
2025-06-09 17:15:00,201.63901,202.0,200.02,200.72,7678690
2025-06-09 17:30:00,200.71001,202.17,200.03,202.17,5384207
2025-06-09 17:45:00,202.17,202.57001,201.58501,202.465,2966601
2025-06-09 18:00:00,202.45,202.66769,201.675,201.94,2595861
2025-06-09 18:15:00,201.94,202.22,201.27,201.46001,2106856
2025-06-09 18:30:00,201.42999,201.618,200.735,200.91991,2779630
2025-06-09 18:45:00,200.91,201.7,200.63,201.52,2606902
2025-06-09 19:00:00,201.5399,201.58,201.03,201.0799,1291753
2025-06-09 19:15:00,201.07001,201.25,200.84,201.25,1942065
2025-06-09 19:30:00,201.21001,201.39999,200.92999,201.03,1762237
2025-06-09 19:45:00,201.02,202.355,200.89,201.44,5636612
2025-06-10 13:30:00,200.60001,203.14999,200.57001,201.799,6349149
2025-06-10 13:45:00,201.80499,203.11,201.38,202.2,2845101
2025-06-10 14:00:00,202.2,203.3569,202.17999,202.735,2368216
2025-06-10 14:15:00,202.97,203.34,202.52029,202.87,1638226
2025-06-10 14:30:00,202.86,203.28,202.73,203.21001,1425579
2025-06-10 14:45:00,203.22,204.35001,203.16,204.12,2266028
2025-06-10 15:00:00,204.11,204.255,203.13,203.19,1727036
2025-06-10 15:15:00,203.25,203.75,203.2,203.315,1256931
2025-06-10 15:30:00,203.32001,203.32001,202.30009,202.92999,1442778
2025-06-10 15:45:00,202.92,203.14999,202.765,202.92,782218
2025-06-10 16:00:00,202.92999,203.14999,202.39999,202.425,1125836
2025-06-10 16:15:00,202.49139,202.84,202.44,202.5388,943302
2025-06-10 16:30:00,202.53,202.763,202.28,202.33,752349
2025-06-10 16:45:00,202.33501,202.644,202.0704,202.58501,953977
2025-06-10 17:00:00,202.58501,202.645,202.16,202.19501,1182643
2025-06-10 17:15:00,202.2,202.29781,201.75,201.75999,1285185
2025-06-10 17:30:00,201.77499,201.80499,201.31,201.36,1470282
2025-06-10 17:45:00,201.3604,202.03,201.35001,201.75,1386718
2025-06-10 18:00:00,201.75031,201.81,201.36,201.55,1145354
2025-06-10 18:15:00,201.5428,202.10001,201.4903,201.7,1124223
2025-06-10 18:30:00,201.69,201.96001,201.60001,201.92999,848459
2025-06-10 18:45:00,201.92979,203.0735,201.84,202.66,1572525
2025-06-10 19:00:00,202.69,203.22501,202.66,203.07001,1352017
2025-06-10 19:15:00,203.075,203.12,202.64999,202.82001,1182807
2025-06-10 19:30:00,202.82111,202.97501,202.59,202.75,1043342
2025-06-10 19:45:00,202.77,202.97,202.33,202.75,3037944
2025-06-11 13:30:00,203.47,204.5,202.5538,202.73,4900235
2025-06-11 13:45:00,202.73,203.00999,202.5,202.78011,2069072
2025-06-11 14:00:00,202.8,203.0,202.33,202.765,1697433
2025-06-11 14:15:00,202.765,203.03,202.4601,202.7601,1721065
2025-06-11 14:30:00,202.70351,202.8,201.91,202.0377,1700376
2025-06-11 14:45:00,202.02,202.44,201.995,202.13499,1424242
2025-06-11 15:00:00,202.13,202.24541,201.02,201.10001,2508706
2025-06-11 15:15:00,201.10001,201.67,200.97,201.00999,1790203
2025-06-11 15:30:00,200.98,201.13,200.82001,200.9052,1491554
2025-06-11 15:45:00,200.89999,201.14999,200.62,200.74001,1626442
2025-06-11 16:00:00,200.73,200.75999,199.75,200.21001,4834846
2025-06-11 16:15:00,200.21001,200.24989,199.65961,200.20711,2115585
2025-06-11 16:30:00,200.1907,200.58,200.185,200.45,2590964
2025-06-11 16:45:00,200.46001,200.84,200.42999,200.66,1126913
2025-06-11 17:00:00,200.64999,201.2365,200.56,201.08591,1061622
2025-06-11 17:15:00,201.08,201.17999,200.875,200.91,1049936
2025-06-11 17:30:00,200.905,200.985,200.25,200.34,1398972
2025-06-11 17:45:00,200.33,200.36,199.81,199.905,1226455
2025-06-11 18:00:00,199.91,200.0,199.09,199.10001,2012802
2025-06-11 18:15:00,199.09,199.37,198.71001,199.2392,1690294
2025-06-11 18:30:00,199.22,199.60001,198.765,199.52,1478830
2025-06-11 18:45:00,199.5,199.58,198.98,199.0652,1596501
2025-06-11 19:00:00,198.81,199.3611,198.75,198.99001,1663176
2025-06-11 19:15:00,198.99001,199.23,198.62,198.98,1770816
2025-06-11 19:30:00,198.95,199.125,198.60001,198.96001,1502863
2025-06-11 19:45:00,198.96001,199.06,198.41,198.85001,4576320
2025-06-12 13:30:00,198.8988,199.39,197.73959,197.87,4866906
2025-06-12 13:45:00,197.9705,198.25999,197.74001,197.94,1949039
2025-06-12 14:00:00,197.925,198.429,197.36011,198.25999,2294560
2025-06-12 14:15:00,198.2699,198.78,197.9601,198.0667,1489373
2025-06-12 14:30:00,198.08,198.5088,198.00999,198.33,1197246
2025-06-12 14:45:00,198.33,198.58,198.17999,198.27879,1166087
2025-06-12 15:00:00,198.25999,198.92,198.24049,198.85,1411549
2025-06-12 15:15:00,198.81,198.845,197.8627,198.16499,1577565
2025-06-12 15:30:00,198.09,198.2,197.755,197.99001,968736
2025-06-12 15:45:00,197.99001,198.3278,197.84,198.3,1049897
2025-06-12 16:00:00,198.3098,198.59,198.08,198.37,1070383
2025-06-12 16:15:00,198.37691,198.64,198.14,198.59,711287
2025-06-12 16:30:00,198.58,198.97,198.21001,198.75999,1139258
2025-06-12 16:45:00,198.75999,198.925,198.45959,198.5625,844566
2025-06-12 17:00:00,198.57001,199.22501,198.46001,199.22501,1111548
2025-06-12 17:15:00,199.2101,199.44,199.16,199.25999,1085343
2025-06-12 17:30:00,199.25999,199.6799,199.14999,199.185,990596
2025-06-12 17:45:00,199.2,199.22501,198.9404,198.9404,616276
2025-06-12 18:00:00,198.96001,199.19,198.84,198.86,618168
2025-06-12 18:15:00,198.86,199.07001,198.6696,198.75,1102913
2025-06-12 18:30:00,198.75999,198.8799,198.545,198.77,903881
2025-06-12 18:45:00,198.75999,199.03,198.66,198.985,814114
2025-06-12 19:00:00,198.98,199.06039,198.87,198.88,654399
2025-06-12 19:15:00,198.88499,199.03999,198.8299,198.88499,693017
2025-06-12 19:30:00,198.88,198.89999,198.5874,198.62,814872
2025-06-12 19:45:00,198.62,199.2,198.39999,199.2,2996100
2025-06-13 13:30:00,199.50999,200.37,197.27,197.5,7317228
2025-06-13 13:45:00,197.53,197.66,196.75999,196.89999,2822627
2025-06-13 14:00:00,196.95,197.39729,195.91,196.23981,2680281
2025-06-13 14:15:00,196.23,196.53,196.0,196.155,2018204
2025-06-13 14:30:00,196.14,197.17,195.98,196.64999,2052479
2025-06-13 14:45:00,196.66,197.1998,196.39999,197.11,1415590
2025-06-13 15:00:00,197.11,197.44099,196.98,197.24001,1311902
2025-06-13 15:15:00,197.2375,197.64,197.10921,197.50999,1090099
2025-06-13 15:30:00,197.52,197.69881,197.21001,197.67,968076
2025-06-13 15:45:00,197.6707,197.88,197.59,197.6888,1006746
2025-06-13 16:00:00,197.67999,198.03,197.42999,197.91499,1046946
2025-06-13 16:15:00,197.91,198.0475,197.22,197.27,1056253
2025-06-13 16:30:00,197.28999,197.48,197.08,197.17999,1116004
2025-06-13 16:45:00,197.17999,197.57001,197.13499,197.46001,791373
2025-06-13 17:00:00,197.42999,197.47,196.97,197.28,905692
2025-06-13 17:15:00,197.25,197.53,196.92,197.27,798952
2025-06-13 17:30:00,197.25,197.52,197.2,197.44949,710596
2025-06-13 17:45:00,197.44,197.71001,197.25999,197.53999,609738
2025-06-13 18:00:00,197.53999,197.69,196.53999,196.64,1336169
2025-06-13 18:15:00,196.64,196.84,196.22,196.278,1355584
2025-06-13 18:30:00,196.25999,196.31,195.81,196.10001,1903892
2025-06-13 18:45:00,196.11,196.485,196.02,196.465,1000315
2025-06-13 19:00:00,196.455,196.64,196.11,196.49001,1010781
2025-06-13 19:15:00,196.50999,196.58,196.08,196.22,1251244
2025-06-13 19:30:00,196.24001,196.69,195.985,196.045,1500125
2025-06-13 19:45:00,196.03999,196.50999,195.77,196.45,4157457
2025-06-16 13:30:00,197.28999,197.84,196.59,197.00999,4560372
2025-06-16 13:45:00,196.98,198.35001,196.5636,198.32001,2544665
2025-06-16 14:00:00,198.34,198.685,197.64,197.91,1654626
2025-06-16 14:15:00,197.925,198.53999,197.73,198.42999,1833293
2025-06-16 14:30:00,198.435,198.66,198.03999,198.31,1404424
2025-06-16 14:45:00,198.315,198.39999,198.00999,198.22,1044875
2025-06-16 15:00:00,198.22501,198.22501,197.62,197.8,1326465
2025-06-16 15:15:00,197.765,197.85001,197.16499,197.315,1315250
2025-06-16 15:30:00,197.31,197.49001,196.92,197.16,1390541
2025-06-16 15:45:00,197.14999,197.42,196.875,197.3699,1242557
2025-06-16 16:00:00,197.36501,197.42999,197.17,197.33,685922
2025-06-16 16:15:00,197.3197,197.63,197.02,197.08,954164
2025-06-16 16:30:00,197.10001,197.41,197.02,197.24001,645698
2025-06-16 16:45:00,197.2476,197.60001,197.17999,197.52,575595
2025-06-16 17:00:00,197.50999,197.56,197.33,197.49001,609157
2025-06-16 17:15:00,197.49001,197.955,197.47,197.875,847930
2025-06-16 17:30:00,197.88499,198.14,197.86,198.03999,961709
2025-06-16 17:45:00,198.0573,198.19,197.77,197.84,992133
2025-06-16 18:00:00,197.86,198.12981,197.825,198.0,644559
2025-06-16 18:15:00,198.0,198.02,197.81,197.98869,602424
2025-06-16 18:30:00,197.99001,198.03999,197.84,197.8535,552019
2025-06-16 18:45:00,197.86,198.3985,197.77,198.3201,819733
2025-06-16 19:00:00,198.32001,198.3786,197.66,198.035,1076722
2025-06-16 19:15:00,198.03,198.39999,197.84,198.245,1120672
2025-06-16 19:30:00,198.245,198.4787,198.10181,198.3,1052340
2025-06-16 19:45:00,198.28,198.49001,197.92999,198.37,3668508
2025-06-17 13:30:00,197.25,197.92999,196.56,196.56,3596316
2025-06-17 13:45:00,196.57,197.02361,196.255,196.81,1894386
2025-06-17 14:00:00,196.83,197.69,196.69,197.6297,1430083
2025-06-17 14:15:00,197.62,197.91,197.44,197.58,994315
2025-06-17 14:30:00,197.58299,197.7,197.325,197.50999,981703
